site_id,start_time,end_time
771748,NaN,02-10-18 23:00
771748,09-10-18 8:00,09-10-18 10:00
771748,24-10-18 11:00,24-10-18 12:00
655402,NaN,01-03-18 11:00
655402,30-03-18 0:00,11-04-18 23:00
655402,27-04-18 0:00,03-05-18 23:00
805196,NaN,14-08-18 16:00
805196,16-11-18 23:00,22-11-18 23:00
655467,NaN,10-06-18 23:00
844998,NaN,05-10-18 23:00
844998,08-10-18 0:00,09-10-18 23:00
410977,NaN,05-02-17 23:00
605351,NaN,12-12-17 14:00
605351,29-08-18 10:00,30-08-18 12:00
672695,NaN,24-03-18 23:00
672695,07-04-18 14:00,07-04-18 15:00
672695,13-04-18 0:00,16-04-18 23:00
672695,20-07-18 13:00,20-07-18 15:00
770007,NaN,31-07-18 23:00
770007,14-08-18 15:00,15-08-18 8:00
770007,28-08-18 4:00,28-08-18 13:00
520043,05-03-18 13:00,05-03-18 16:00
558809,NaN,13-10-18 23:00
558809,18-10-17 10:00,18-10-17 11:00
558809,29-11-17 14:00,25-04-18 12:00
558809,18-06-18 12:00,25-06-18 23:00
778712,NaN,28-07-18 23:00
778712,31-07-18 11:00,31-07-18 12:00
778712,17-08-18 13:00,17-08-18 15:00
778712,16-09-18 0:00,16-09-18 13:00
778712,21-09-18 12:00,21-09-18 14:00
778712,04-11-18 11:00,09-11-18 10:00
644207,NaN,13-02-18 23:00
644207,22-02-18 0:00,26-02-18 23:00
644207,27-08-18 10:00,29-08-18 11:00
852227,NaN,04-10-18 23:00
852227,14-10-18 10:00,14-10-18 12:00
295363,NaN,07-09-16 23:00
295363,14-11-16 15:00,15-11-16 6:00
295363,19-01-17 10:00,19-01-16 14:00
295363,19-03-17 9:00,20-03-17 13:00
295363,04-05-17 14:00,04-05-17 15:00
295363,25-07-17 14:00,25-07-17 15:00
295363,15-09-17 7:00,15-09-17 18:00
295363,20-09-17 8:00,21-09-17 9:00
295363,19-06-18 9:00,25-06-18 9:00
460596,NaN,04-05-17 23:00
460596,06-05-17 8:00,06-05-17 10:00
460596,14-11-17 22:00,27-11-17 23:00
322405,NaN,03-11-16 15:00
322405,09-11-16 13:00,09-11-16 14:00
322405,14-11-16 15:00,15-11-16 6:00
322405,28-12-16 14:00,28-12-16 15:00
322405,19-01-17 10:00,19-01-17 14:00
322405,24-02-17 11:00,24-02-17 12:00
322405,04-05-17 14:00,04-05-17 15:00
424625,NaN,08-03-17 23:00
424625,02-09-17 9:00,02-09-17 14:00
424625,13-03-18 6:00,13-03-18 10:00
424625,24-04-18 9:00,24-04-18 10:00
424625,29-04-18 9:00,29-04-18 10:00
424625,13-05-18 10:00,13-05-18 11:00
424625,14-05-18 13:00,14-05-18 20:00
424625,27-06-18 12:00,27-06-18 12:00
424625,28-06-18 3:00,28-06-18 12:00
424625,26-08-18 7:00,26-08-18 8:00
904633,NaN,14-11-18 9:00
417624,25-02-17 23:00,04-03-17 23:00
417624,27-03-17 17:00,28-03-17 10:00
417624,06-04-17 14:00,07-05-17 12:00
417624,22-06-17 5:00,22-06-17 11:00
417624,29-06-17 20:00,30-06-17 9:00
417624,07-07-17 22:00,08-07-17 18:00
417624,13-07-17 0:00,13-07-17 13:00
417624,23-10-17 9:00,31-10-17 13:00
417624,12-11-17 23:00,16-11-17 14:00
417624,10-12-17 14:00,11-01-17 15:00
417624,06-02-18 15:00,06-02-18 20:00
417624,14-02-18 10:00,14-02-18 15:00
417624,26-03-18 5:00,26-03-18 7:00
417624,08-05-18 4:00,08-05-18 11:00
417624,25-05-18 17:00,30-05-18 15:00
417624,13-06-18 12:00,13-06-18 12:00
417624,16-07-18 7:00,16-07-18 10:00
417624,18-07-18 9:00,18-07-18 9:00
417624,18-07-18 18:00,18-07-18 18:00
417624,20-07-18 9:00,20-07-18 9:00
658334,NaN,22-03-18 23:00
658334,27-03-18 15:00,27-03-18 15:00
658334,26-04-18 15:00,26-04-18 16:00
658334,17-05-18 17:00,17-05-18 19:00
658334,26-06-18 6:00,26-06-18 8:00
658334,04-08-18 9:00,04-08-18 9:00
658334,07-11-18 14:00,07-11-18 14:00
658334,18-11-18 16:00,18-11-18 18:00
598654,NaN,06-12-17 23:00
598654,13-12-17 12:00,13-12-17 16:00
