date,power,,date,energy,,,,
01-03-18 0:00,113939.15,113.93915,01-03-18,0,0,113.93915,0,113.93915
01-03-18 0:15,76533.086,76.533086,01-03-18,0,0,76.533086,0,76.533086
01-03-18 0:30,71589.54,71.58954,01-03-18,0,0,71.58954,0,71.58954
01-03-18 0:45,88203.71,88.20371,01-03-18,0,0,88.20371,0,88.20371
01-03-18 1:00,74624.05,74.62405,01-03-18,0,0,74.62405,0,74.62405
01-03-18 1:15,82696.914,82.696914,01-03-18,0,0,82.696914,0,82.696914
01-03-18 1:30,115651.85,115.65185,01-03-18,0,0,115.65185,0,115.65185
01-03-18 1:45,63530.83,63.53083,01-03-18,0,0,63.53083,0,63.53083
01-03-18 2:00,67629.19,67.62919,01-03-18,0,0,67.62919,0,67.62919
01-03-18 2:15,81959.89,81.95989,01-03-18,0,0,81.95989,0,81.95989
01-03-18 2:30,62654.29,62.65429,01-03-18,0,0,62.65429,0,62.65429
01-03-18 2:45,58382.09,58.38209,01-03-18,0,0,58.38209,0,58.38209
01-03-18 3:00,110700.086,110.700086,01-03-18,0,0,110.700086,0,110.700086
01-03-18 3:15,59972.035,59.972035,01-03-18,0,0,59.972035,0,59.972035
01-03-18 3:30,52112.31,52.11231,01-03-18,0,0,52.11231,0,52.11231
01-03-18 3:45,70477.78,70.47778,01-03-18,0,0,70.47778,0,70.47778
01-03-18 4:00,47706.535,47.706535,01-03-18,0,0,47.706535,0,47.706535
01-03-18 4:15,69319.84,69.31984,01-03-18,0,0,69.31984,0,69.31984
01-03-18 4:30,87258.11,87.25811,01-03-18,0,0,87.25811,0,87.25811
01-03-18 4:45,53693.477,53.693477,01-03-18,0,0,53.693477,0,53.693477
01-03-18 5:00,64493.883,64.493883,01-03-18,0,0,64.493883,0,64.493883
01-03-18 5:15,89796.08,89.79608,01-03-18,0,0,89.79608,0,89.79608
01-03-18 5:30,66091.44,66.09144,01-03-18,0,0,66.09144,0,66.09144
01-03-18 5:45,87861.016,87.861016,01-03-18,0,0,87.861016,0,87.861016
01-03-18 6:00,141321.34,141.32134,01-03-18,0,0,141.32134,0,141.32134
01-03-18 6:15,89754.76,89.75476,01-03-18,0,0,89.75476,0,89.75476
01-03-18 6:30,132942.1,132.9421,01-03-18,18,0.018,132.9241,0.072,132.8521
01-03-18 6:45,174707.81,174.70781,01-03-18,376,0.376,174.33181,1.504,172.82781
01-03-18 7:00,187450.45,187.45045,01-03-18,634,0.634,186.81645,2.536,184.28045
