datetime,temperature,uvIndex,windSpeed,summary,apparentTemperature,cloudCover,dewPoint,humidity,precipType,pressure,windBearing
2018-03-01 00:00:00,15.54,0,0.05,Partly Cloudy,15.67,0.45,14.97,0.96,rain,,122
2018-03-01 01:00:00,15.13,0,0.01,Partly Cloudy,15.18,0.45,14.36,0.95,rain,,180
2018-03-01 02:00:00,15.31,0,0.1,Mostly Cloudy,15.32,0.63,14.18,0.93,rain,,193
2018-03-01 03:00:00,14.21,0,0.04,Partly Cloudy,14.21,0.46,13.37,0.95,rain,,146
2018-03-01 04:00:00,13.69,0,0.03,Partly Cloudy,13.69,0.47,13.08,0.96,rain,,180
2018-03-01 05:00:00,13.63,0,0.09,Foggy,13.63,0.3,12.67,0.94,rain,,160
2018-03-01 06:00:00,13.34,0,0.13,Clear,13.34,0.0,12.42,0.94,rain,,177
2018-03-01 07:00:00,13.61,0,0.11,Clear,13.61,0.0,13.14,0.97,rain,,180
2018-03-01 08:00:00,18.22,2,0.42,Partly Cloudy,18.22,0.28,13.61,0.75,rain,,118
2018-03-01 09:00:00,21.07,4,0.12,Clear,21.07,0.0,13.74,0.63,rain,,151
2018-03-01 10:00:00,22.94,6,0.11,Partly Cloudy,22.94,0.54,12.72,0.53,rain,,102
2018-03-01 11:00:00,25.26,9,0.13,Partly Cloudy,25.26,0.29,11.85,0.43,rain,,298
2018-03-01 12:00:00,25.84,10,0.49,Clear,25.84,0.19,13.14,0.45,rain,,286
2018-03-01 13:00:00,26.82,10,0.21,Clear,26.92,0.19,13.49,0.44,rain,,142
2018-03-01 14:00:00,26.48,7,0.45,Partly Cloudy,26.48,0.51,12.27,0.41,rain,,172
2018-03-01 15:00:00,26.14,6,0.2,Clear,26.14,0.19,13.41,0.45,rain,,129
2018-03-01 16:00:00,27.24,3,0.42,Clear,27.24,0.19,12.89,0.41,rain,,90
2018-03-01 17:00:00,26.92,1,0.98,Partly Cloudy,26.92,0.26,11.94,0.39,rain,,110
2018-03-01 18:00:00,25.54,0,0.17,Clear,25.54,0.19,13.26,0.47,rain,,78
2018-03-01 19:00:00,23.24,0,0.02,Partly Cloudy,23.24,0.5,13.73,0.55,rain,,114
2018-03-01 20:00:00,21.34,0,0.38,Partly Cloudy,21.34,0.3,12.65,0.58,rain,,146
2018-03-01 21:00:00,20.01,0,0.41,Partly Cloudy,20.01,0.47,12.69,0.63,rain,,111
2018-03-01 22:00:00,20.43,0,0.89,Partly Cloudy,20.43,0.46,10.67,0.54,rain,,90
2018-03-01 23:00:00,19.22,0,1.87,Partly Cloudy,19.22,0.29,9.43,0.53,rain,,93
2018-03-02 00:00:00,18.64,0,0.12,Partly Cloudy,18.64,0.45,10.31,0.58,rain,,0
2018-03-02 01:00:00,16.91,0,0.17,Partly Cloudy,16.91,0.45,9.82,0.63,rain,,90
2018-03-02 02:00:00,16.11,0,0.46,Mostly Cloudy,16.11,0.75,9.73,0.66,rain,,147
2018-03-02 03:00:00,15.23,0,0.15,Partly Cloudy,15.23,0.46,10.14,0.72,rain,,142
2018-03-02 04:00:00,14.72,0,0.14,Partly Cloudy,14.72,0.47,10.38,0.75,rain,,105
2018-03-02 05:00:00,13.83,0,0.61,Partly Cloudy,13.83,0.48,10.04,0.78,rain,,114
2018-03-02 06:00:00,12.99,0,0.06,Partly Cloudy,12.99,0.49,10.27,0.84,rain,,146
2018-03-02 07:00:00,13.58,0,0.42,Partly Cloudy,13.58,0.51,10.62,0.82,rain,,104
2018-03-02 08:00:00,17.17,2,1.36,Clear,17.17,0.2,9.82,0.62,rain,,100
2018-03-02 09:00:00,19.86,4,0.96,Partly Cloudy,19.86,0.53,8.47,0.48,rain,,84
2018-03-02 10:00:00,21.29,6,1.4,Partly Cloudy,21.29,0.54,7.52,0.41,rain,,73
2018-03-02 11:00:00,23.02,9,2.31,Clear,23.02,0.13,8.07,0.38,rain,,78
2018-03-02 12:00:00,24.58,8,0.98,Partly Cloudy,24.58,0.56,8.62,0.36,rain,,39
2018-03-02 13:00:00,25.42,8,1.05,Partly Cloudy,25.42,0.56,8.88,0.35,rain,,38
2018-03-02 14:00:00,26.97,9,0.62,Clear,26.97,0.13,6.63,0.27,rain,,10
2018-03-02 15:00:00,27.14,5,0.25,Partly Cloudy,27.14,0.56,8.21,0.3,rain,,7
2018-03-02 16:00:00,26.84,3,0.32,Partly Cloudy,26.84,0.55,8.03,0.3,rain,,55
2018-03-02 17:00:00,26.61,1,0.72,Partly Cloudy,26.61,0.25,7.03,0.29,rain,,82
